cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_21#inc_2016_2021|relative|65+|31193335.729|1521|-1781793.351|1521|20508.439006|-1171.461769
secondary_sector|bd_21#prev_2021|father|0-24|113284309.81|6963|28917807.507|6963|16269.468593|4153.0672852
secondary_sector|bd_21#prev_2021|mother|0-24|116758386.74|7571|18289535.761|7571|15421.791934|2415.7358026
secondary_sector|bd_21#prev_2021|relative|25-64|776071925.76|40106|72292966.659|40106|19350.519268|1802.5474158
secondary_sector|bd_21#prev_2021|relative|65+|111323910.78|5443|10960867.324|5443|20452.675138|2013.7547904
secondary_sector|bd_22#inc_2016_2021|father|0-24|421975108.46|37378|88969604.956|37378|11289.397733|2380.2665995
secondary_sector|bd_22#inc_2016_2021|mother|0-24|496179520.54|37852|110548238.58|37852|13108.409609|2920.5389037
secondary_sector|bd_22#inc_2016_2021|relative|25-64|2290999974.1|141033|288663621.58|141033|16244.42488|2046.7806937
secondary_sector|bd_22#inc_2016_2021|relative|65+|1555052605.7|74299|183861424.86|74299|20929.657273|2474.6150669
secondary_sector|bd_22#prev_2021|father|0-24|401205480.77|36998|47749992.748|36998|10843.977533|1290.6101072
secondary_sector|bd_22#prev_2021|mother|0-24|490992760.2|36566|112280274.15|36566|13427.576443|3070.6195414
secondary_sector|bd_22#prev_2021|relative|25-64|5605364491.6|351220.37158|298640458.57|351220.37158|15959.679293|850.29366952
secondary_sector|bd_22#prev_2021|relative|65+|4279338251.4|236607.61475|158307603|236607.61475|18086.223708|669.07230845
secondary_sector|bd_23#inc_2016_2021|father|0-24|351286315.53|26418|89763254.531|26418|13297.233535|3397.8065914
secondary_sector|bd_23#inc_2016_2021|mother|0-24|405371907.56|27174|126551500.7|27174|14917.638462|4657.080323
secondary_sector|bd_23#inc_2016_2021|relative|25-64|739417566.05|41477|116265161.28|41477|17827.170867|2803.1236897
secondary_sector|bd_23#inc_2016_2021|relative|65+|152234167.72|5226|44369913.433|5226|29130.150732|8490.2245376
secondary_sector|bd_23#prev_2021|father|0-24|426971455.11|31811|88629043.655|31811|13422.132442|2786.1130947
secondary_sector|bd_23#prev_2021|mother|0-24|495343235.88|31871|142619310.18|31871|15542.130334|4474.892855
secondary_sector|bd_23#prev_2021|relative|25-64|2605391226.6|146715.21038|273716066.51|146715.21038|17758.153499|1865.6284225
secondary_sector|bd_23#prev_2021|relative|65+|469702773.94|21282.614754|66249670.44|21282.614754|22069.786977|3112.8539047
secondary_sector|bd_24#inc_2016_2021|father|0-24|5949705.065|467|629708.06879|467|12740.267805|1348.4112822
secondary_sector|bd_24#inc_2016_2021|mother|0-24|7284457.4178|500|-893903.6474|500|14568.914836|-1787.807295
secondary_sector|bd_24#inc_2016_2021|relative|25-64|408084200.43|20556.591317|42022324.297|20556.591317|19851.744589|2044.2262849
secondary_sector|bd_24#inc_2016_2021|relative|65+|1106334888.2|51180.30137|28841732.227|51180.30137|21616.419962|563.53189518
secondary_sector|bd_24#prev_2021|father|0-24|9633289.7417|937|-2203389.833|937|10280.992254|-2351.536642
secondary_sector|bd_24#prev_2021|mother|0-24|14027126.651|966|3437349.8926|966|14520.835042|3558.3332222
secondary_sector|bd_24#prev_2021|relative|25-64|685279903.41|33649|120152926.1|33649|20365.535481|3570.7725668
secondary_sector|bd_24#prev_2021|relative|65+|1821556400.2|79216|138288416.66|79216|22994.804082|1745.7131975
secondary_sector|bd_25#inc_2016_2021|father|0-24|228076421.32|21823|21305287.613|21823|10451.194672|976.27675449
secondary_sector|bd_25#inc_2016_2021|mother|0-24|322306581.39|23152|54034200.042|23152|13921.327807|2333.8890827
secondary_sector|bd_25#inc_2016_2021|relative|25-64|382992349.88|21252|47274650.613|21252|18021.473267|2224.4800778
